orgnr_frtk,yrkeskode,antall_stillinger
939273484,0,2
914807077,3119,7
914807077,2149,6
914807077,7233,6
914807077,7412,8
914807077,5223,1
914807077,3152,1
914807077,3511,1
914807077,7411,4
914807077,3114,5
914807077,3113,1
914807077,2413,2
914807077,2114,6
914807077,3257,1
914807077,4224,2
914807077,3117,166
914807077,2611,2
914807077,3116,7
914807077,3134,2
914807077,1322,11
914807077,4322,1
914807077,3115,2
914807077,8131,6
914807077,1222,1
914807077,2423,1
914807077,1212,8
914807077,4311,4
914807077,1412,1
914807077,2411,4
914807077,2151,1
914807077,2146,12
914807077,2141,4
914807077,2144,1
914807077,2223,2
946713929,1324,1
915211631,7411,2
915211631,1211,1
916915144,3119,1
916915144,1349,1
916915144,7412,3
916915144,1223,1
916915144,4110,1
916915144,4321,2
916915144,1321,2
916915144,8160,2
921246218,9412,1
921246218,5120,1
945925892,5153,1
916155808,1349,1
916155808,7412,1
916155808,2431,2
916155808,1221,1
916155808,2433,1
916155808,7222,4
830588442,8343,1
830588442,4321,1
830588442,9333,2
830588442,7212,2
916591144,5222,1
916591144,5223,2
916591144,1222,1
916591144,1221,1
916573723,1120,1
916573723,2432,1
916573723,2642,4
916573723,4222,1
916573723,2431,1
947038400,7214,1
917478309,9621,95
917478309,5223,2
917478309,2642,42
917478309,4211,2
917478309,2431,1
984548648,1349,1
984548648,2164,5
984548648,3112,25
984548648,2142,7
984548648,2152,2
913442415,5223,3
913442415,9112,7
913442415,3322,5
890046452,2342,1
996667502,2423,1
991977546,6113,4
991977546,5120,3
991977546,2423,1
991977546,9112,10
991977546,1412,1
991977546,2411,1
991977546,5153,1
918408703,5311,8
918408703,8322,2
918408703,7411,1
918408703,1211,1
918408703,2264,4
918408703,2342,16
918408703,2341,2
918408703,2422,1
918408703,3412,2
918408703,2423,7
918408703,1212,1
918408703,3313,3
918408703,9112,10
918408703,1412,1
918408703,1221,2
918408703,2351,6
918408703,2320,2
991977392,1120,2
991977392,1349,1
991977392,2359,2
991977392,3333,8
991977392,2265,2
991977392,2264,2
991977392,2342,2
991977392,6113,2
991977392,2422,3
991977392,3412,2
991977392,2421,1
991977392,2423,2
991977392,3353,8
991977392,2351,2
991977392,2221,1
991977430,2423,1
932988984,1120,1
994887327,2431,1
928153606,1120,1
928153606,2161,3
917584842,8322,2
917584842,4110,1
915891284,2161,5
989992406,9112,1
989288032,5223,6
987660392,7411,10
819155372,9122,6
819657602,5329,16
942665393,7231,2
942665393,7213,1
942665393,4226,1
984406878,2611,4
984406878,4110,5
999508405,5311,2
999508405,2342,3
999508405,2351,1
980453030,7233,1
980453030,8342,3
980453030,8332,2
992574623,3119,1
992574623,1349,1
992574623,2359,2
992574623,5223,3
992574623,4321,1
992574623,1321,1
992574623,1345,1
992574623,2433,1
992574623,3322,3
966961090,2164,2
966961090,2161,5
995504871,5249,3
995504871,0,1
897941392,5329,2
897941392,5249,1
987695293,8322,2
987695293,8332,1
965674217,9412,13
965674217,0,2
910014048,5153,2
995614251,2354,1
995614251,2353,1
995614251,5311,1
995614251,2341,19
995614251,5312,1
995614251,2351,2
995614251,2352,17
990400474,2621,1
934403576,5223,2
934403576,2166,2
934403576,8153,1
871368872,1412,1
990615233,3422,5
994873326,3359,1
994873326,3341,1
994873326,1431,1
994873326,3422,2
896453432,7115,1
960121163,7411,5
960121163,1211,1
960121163,4313,1
929101987,3257,1
929101987,4110,2
991115196,2413,8
991115196,4227,25
991115196,2431,4
991115196,0,4
