yrke,yrkeskode
Flygeledere,3154
Miljøvernrådgivere,2133
Bibliotekarer og andre informasjonsarbeidere,2622
"Dirigenter, komponister, musikere og sangere",2652
Regissører,2654
Tannleger,2261
Toppledere i offentlig administrasjon,1112
Bibliotekassistenter,4411
Dyrepassere og -trenere mv.,5164
Hjelpearbeidere i husdyrproduksjon,9212
Koreografer og dansere,2653
Radiografer mv.,3211
Veterinærer,2250
Reseptarer,3213
Ledere innen akvakultur mv.,1312
"Arbeidsleder, bergfag",3121
Fyrkjele- og turbinoperatør,8182
Hjelpearbeidere i nyttevekstproduksjon,9211
Fiskere,6222
Korn- og grønnsaksprodusenter,6111
Andre prosesskontrolloperatører,3139
Produkttestere (ikke matprodukter),7543
Gips- og sparklingsarbeidere,7123
Forsikrings- og finansmedarbeidere,4312
Dommere,2612
Andre opplysningsmedarbeidere,4229
Ledere av sosialomsorg,1344
Protese- og tannteknikere,3214
Billettselgere,5230
"Skreddere, buntmakere mv.",7531
Operatører innen tekstilbearbeiding,8154
Fangstfolk,6224
Ambulansepersonell,3258
Sivilingeniører (miljøteknikk),2143
Konduktører,5112
Plante- og husdyrprodusenter (kombinasjonsbruk,6130
"Gull- og sølvsmeder, gravører mv.",7313
Flygere mv.,3153
Operatører innen metalloverflatebehandling,8122
Bergfagarbeidere,8111
Gatefeiere mv.,9613
Måleravlesere mv.,9623
Lokomotiv- og T-baneførere,8311
Skiftekonduktører mv.,8312
Skomakere,7536
Gradører,7532
Mannekenger og modeller,5241
Møbeltapetserere mv.,7534
Tekniske konservatorer,3433
Operatører innen produksjon av gummiprodukter,8141
"Bingoverter, bookmakere mv.",4212
"Syltere, saftere mv. (gårdsproduksjon)",7514
Hjelpearbeidere innen havbruk,9216
Kunsthåndverkere i tre mv.,7317
Andre dyreoppdrettere og -røktere,6129
Andre utøvende kunstneriske yrker,2659
Operatører innen produksjon av papirprodukter,8143
Meteorologer,2112
Operatører innen produksjon av fotofilm og -papir mv.,8132
Yrker innen alternativ medisin,3230
Glasshåndverkere,7315
Ystere mv. (gårdsproduksjon),7513
Skinnberedere og garvere,7535
Hjelpearbeidere (gårdsbruk/landbruk),9213
Kontrolloperatører innen metallproduksjon,3135
Privatetterforskere,3411
Innbindere mv.,7323
Dekormalere mv,7316
Gateselger av mat,5212
Menige,310
Offiserer fra fenrik og høyere grad,110
Birøktere,6123
Spinne- og nøstemaskinoperatører,8151
"Arbeidsleder, bergfag, oljevirksomhet",3121
Musikkinstrumentmakere og -stemmere,7312
Kodere mv,4413
Egg- og fjærfeprodusenter,6122
Hjelpearbeidere i skogbruk,9215
Skuespillere,2655
Keramikere mv.,7314
Andre kunsthåndverkere,7319
Hjelpearbeidere i kombinasjonsbruk,9213
Frukt- og bærprodusenter,6112
Idrettsutøvere,3421
Stenografer,4131
Operatører innen skinn- og lærprodukter,8156
