orgnr_frtk,nkode1,ansatte_antall,navn,naerk_tekst
974635917,84.120,464.0,ØSTRE TOTEN KOMMUNE GRUNNSKOLE,"Offentlig administrasjon tilknyttet helsestell, sosial virksomhet, undervisning, kirke, kultur og miljøvern"
974639157,84.120,136.0,ØSTRE TOTEN KOMMUNE HELSE,"Offentlig administrasjon tilknyttet helsestell, sosial virksomhet, undervisning, kirke, kultur og miljøvern"
974639165,84.120,44.0,ØSTRE TOTEN KOMMUNE KULTUR,"Offentlig administrasjon tilknyttet helsestell, sosial virksomhet, undervisning, kirke, kultur og miljøvern"
988378216,84.120,7.0,ØSTRE TOTEN KOMMUNE LEDERGRUPPE,"Offentlig administrasjon tilknyttet helsestell, sosial virksomhet, undervisning, kirke, kultur og miljøvern"
991128514,84.120,921.0,ØSTRE TOTEN KOMMUNE OMSORG,"Offentlig administrasjon tilknyttet helsestell, sosial virksomhet, undervisning, kirke, kultur og miljøvern"
988378623,84.120,12.0,ØSTRE TOTEN KOMMUNE SOSIALTJENESTE,"Offentlig administrasjon tilknyttet helsestell, sosial virksomhet, undervisning, kirke, kultur og miljøvern"
974643391,84.120,185.0,ØSTRE TOTEN KOMMUNE STØTTE,"Offentlig administrasjon tilknyttet helsestell, sosial virksomhet, undervisning, kirke, kultur og miljøvern"
974639173,84.130,26.0,ØSTRE TOTEN KOMMUNE VANN OG AVLØP,Offentlig administrasjon tilknyttet næringsvirksomhet og arbeidsmarked
988378615,84.120,19.0,ØSTRE TOTEN KOMMUNE VOKSENOPPLÆRING,"Offentlig administrasjon tilknyttet helsestell, sosial virksomhet, undervisning, kirke, kultur og miljøvern"
995318180,85.201,10.0,ØSTRE TRYSIL MONTESSORISKOLE SA,Ordinær grunnskoleundervisning
989057413,41.200,12.0,ØSTVENT BYGG AS,Oppføring av bygninger
985645566,28.920,104.0,ØVERAASEN AS,Produksjon av maskiner og utstyr til bergverksdrift og bygge- og anleggsvirksomhet
912082296,47.300,8.0,ØVERBYGD BENSIN AS,Detaljhandel med drivstoff til motorvogner
955719107,43.210,17.0,ØVERBYGD ELEKTRO AS,Elektrisk installasjonsarbeid
993997390,88.911,1.0,ØVERBYGDA FAMILIEBARNEHAGE Laila Dokken Skogen,Barnehager
914063701,16.232,23.0,ØVERBYGG NORGE AS,Produksjon av bygningsartikler
982936713,41.200,32.0,ØVERDAL OG BYE BYGGSERVICE AS,Oppføring av bygninger
979476388,43.120,8.0,ØVERGÅRD ANLEGG AS,Grunnarbeid
990600708,85.201,15.0,ØVERGÅRD MONTESSORISKOLE,Ordinær grunnskoleundervisning
969122987,01.410,5.0,ØVERGÅRD V/ARNTSEN,Melkeproduksjon på storfe
923636897,45.310,11.0,ØVERLAND & CO AS,"Agentur- og engroshandel med deler og utstyr til motorvogner, unntatt motorsykler"
889273992,88.911,15.0,ØVERLAND BARNEHAGE AS,Barnehager
950645334,68.201,3.0,ØVERLAND BORETTSLAG,Borettslag
936364756,49.410,38.0,ØVERLAND TRANSPORT AS,Godstransport på vei
921648731,38.110,42.0,ØVERLAND TRANSPORT OG RENOVASJON AS,Innsamling av ikke-farlig avfall
979302843,86.211,11.0,ØVERMO LEGESENTER DA,Allmenn legetjeneste
979497563,35.111,4.0,ØVRE EIKER ENERGI AS,Produksjon av elektrisitet fra vannkraft
986171738,61.100,4.0,ØVRE EIKER FIBERNETT AS,Kabelbasert telekommunikasjon
976990218,94.910,22.0,ØVRE EIKER KIRKELIGE FELLESRÅD,Religiøse organisasjoner
988358142,84.130,66.0,"ØVRE EIKER KOMMUNE SEKSJON EIENDOM, FORVALTNING OG DRIFT",Offentlig administrasjon tilknyttet næringsvirksomhet og arbeidsmarked
974639939,84.120,977.0,ØVRE EIKER KOMMUNE SEKSJON HELSE OG OMSORG,"Offentlig administrasjon tilknyttet helsestell, sosial virksomhet, undervisning, kirke, kultur og miljøvern"
